entity,cidr
cn-north-1,54.222.128.0/17
us-gov-west-1,96.127.0.0/17
us-east-1,52.94.224.0/20
cn-northwest-1,68.79.0.0/18
us-east-1,99.77.128.0/24
cn-north-1,150.222.88.0/24
GLOBAL,223.71.71.96/27
eu-west-1,52.93.18.179/32
af-south-1,52.93.126.147/32
eu-west-1,52.94.196.0/24
us-west-1,54.215.0.0/16
ap-northeast-1,18.182.0.0/16
us-east-1,54.152.0.0/16
us-east-1,176.32.125.240/31
ap-northeast-1,18.178.0.0/16
sa-east-1,52.95.164.0/23
eu-west-1,52.144.208.128/26
eu-west-2,52.144.213.64/26
us-west-2,54.202.0.0/15
us-east-1,54.240.208.0/22
eu-west-1,150.222.204.0/24
us-east-2,15.230.39.138/31
us-east-2,15.230.39.224/31
eu-west-2,18.132.0.0/14
us-east-1,52.70.0.0/15
us-east-1,52.94.248.0/28
us-east-1,52.119.212.0/23
eu-north-1,52.144.216.10/31
eu-west-1,54.239.99.0/24
us-west-2,108.166.224.0/21
GLOBAL,52.95.110.0/24
eu-south-1,54.240.236.62/32
ap-south-1,150.222.115.0/24
sa-east-1,15.177.70.0/23
